chart_id,music_id,title,pronunciation,difficulty,play_level,chart_constant,total_note_count,tap_count,flick_count,slide_count,trace_count,critical_count,weighted_note_count,published_at
1,1,Tell Your World,てるゆあわーるど,easy,5,,220,,,,,,,2019-06-10
2,1,Tell Your World,てるゆあわーるど,normal,10,,492,,,,,,,2019-06-10
3,1,Tell Your World,てるゆあわーるど,hard,16,,719,,,,,,,2019-06-10
4,1,Tell Your World,てるゆあわーるど,expert,22,,961,,,,,,,2019-06-10
5,1,Tell Your World,てるゆあわーるど,master,26,,1147,,,,,,,2019-06-10
4001,1,Tell Your World,てるゆあわーるど,append,25,,1353,,,,,,,2019-06-10
6,2,ロキ,ろき,easy,7,,166,,,,,,,2019-06-10
7,2,ロキ,ろき,normal,11,,296,,,,,,,2019-06-10
8,2,ロキ,ろき,hard,17,,635,,,,,,,2019-06-10
9,2,ロキ,ろき,expert,24,,827,,,,,,,2019-06-10
10,2,ロキ,ろき,master,29,,975,,,,,,,2019-06-10
4090,2,ロキ,ろき,append,28,,1040,,,,,,,2019-06-10
11,3,テオ,てお,easy,9,,135,,,,,,,2019-06-10
12,3,テオ,てお,normal,14,,477,,,,,,,2019-06-10
13,3,テオ,てお,hard,19,,681,,,,,,,2019-06-10
14,3,テオ,てお,expert,27,,997,,,,,,,2019-06-10
15,3,テオ,てお,master,32,,1221,,,,,,,2019-06-10
26,6,ヒバナ -Reloaded-,ひばなりろーでっど,easy,9,,198,,,,,,,2019-06-10
27,6,ヒバナ -Reloaded-,ひばなりろーでっど,normal,14,,394,,,,,,,2019-06-10
28,6,ヒバナ -Reloaded-,ひばなりろーでっど,hard,19,,568,,,,,,,2019-06-10
29,6,ヒバナ -Reloaded-,ひばなりろーでっど,expert,28,,808,,,,,,,2019-06-10
30,6,ヒバナ -Reloaded-,ひばなりろーでっど,master,32,,1060,,,,,,,2019-06-10
4002,6,ヒバナ -Reloaded-,ひばなりろーでっど,append,34,,1351,,,,,,,2019-06-10
36,8,タイムマシン,たいむましん,easy,6,,193,,,,,,,2021-02-10
37,8,タイムマシン,たいむましん,normal,11,,268,,,,,,,2021-02-10
38,8,タイムマシン,たいむましん,hard,16,,488,,,,,,,2021-02-10
39,8,タイムマシン,たいむましん,expert,23,,719,,,,,,,2021-02-10
40,8,タイムマシン,たいむましん,master,27,,903,,,,,,,2021-02-10
46,10,ハッピーシンセサイザ,はっぴーしんせさいざ,easy,6,,127,,,,,,,2019-06-10
47,10,ハッピーシンセサイザ,はっぴーしんせさいざ,normal,11,,437,,,,,,,2019-06-10
48,10,ハッピーシンセサイザ,はっぴーしんせさいざ,hard,18,,685,,,,,,,2019-06-10
49,10,ハッピーシンセサイザ,はっぴーしんせさいざ,expert,24,,859,,,,,,,2019-06-10
50,10,ハッピーシンセサイザ,はっぴーしんせさいざ,master,28,,1136,,,,,,,2019-06-10
4088,10,ハッピーシンセサイザ,はっぴーしんせさいざ,append,29,,1205,,,,,,,2019-06-10
51,11,ビバハピ,びばはぴ,easy,6,,126,,,,,,,2020-10-11
52,11,ビバハピ,びばはぴ,normal,12,,297,,,,,,,2020-10-11
53,11,ビバハピ,びばはぴ,hard,17,,367,,,,,,,2020-10-11
54,11,ビバハピ,びばはぴ,expert,24,,597,,,,,,,2020-10-11
55,11,ビバハピ,びばはぴ,master,29,,722,,,,,,,2020-10-11
4142,11,ビバハピ,びばはぴ,append,31,,884,,,,,,,2020-10-11
61,13,Nostalogic,のすたろじっく,easy,6,,134,,,,,,,2019-06-10
62,13,Nostalogic,のすたろじっく,normal,12,,381,,,,,,,2019-06-10
63,13,Nostalogic,のすたろじっく,hard,17,,462,,,,,,,2019-06-10
64,13,Nostalogic,のすたろじっく,expert,23,,719,,,,,,,2019-06-10
65,13,Nostalogic,のすたろじっく,master,29,,985,,,,,,,2019-06-10
71,15,drop pop candy,どろっぷぽっぷきゃんでぃ,easy,6,,156,,,,,,,2021-02-15
72,15,drop pop candy,どろっぷぽっぷきゃんでぃ,normal,12,,322,,,,,,,2021-02-15
73,15,drop pop candy,どろっぷぽっぷきゃんでぃ,hard,17,,546,,,,,,,2021-02-15
74,15,drop pop candy,どろっぷぽっぷきゃんでぃ,expert,25,,773,,,,,,,2021-02-15
75,15,drop pop candy,どろっぷぽっぷきゃんでぃ,master,29,,902,,,,,,,2021-02-15
86,18,アスノヨゾラ哨戒班,あすのよぞらしょうかいはん,easy,8,,229,,,,,,,2020-10-01
87,18,アスノヨゾラ哨戒班,あすのよぞらしょうかいはん,normal,12,,467,,,,,,,2020-10-01
