chart_id,title,play_level,A,B,result,how
5,Tell Your World,26,26.1,最下位,26.1,match
10,ロキ,29,29.6,上位,29.6,match
15,テオ,32,32.5,適正,32.5,match
30,ヒバナ -Reloaded-,32,32.9,最上位＋,32.9,match
40,タイムマシン,27,27.7,上位,27.7,match
50,ハッピーシンセサイザ,28,28.5,適正,28.5,match
55,ビバハピ,29,29.6,適正,29.6,match
65,Nostalogic,29,29.6,適正,29.6,match
75,drop pop candy,29,29.9,上位,29.8,avg
90,アスノヨゾラ哨戒班,29,29.7,適正,29.6,avg
95,シャルル,28,28.5,下位,28.4,avg
105,脱法ロック,31,31.7,最上位,31.8,avg
110,命に嫌われている,30,30.8,上位,30.8,match
130,劣等上等,30,30.9,適正,30.7,avg
135,Just Be Friends,28,28.7,下位,28.5,avg
140,ドクター＝ファンクビート,32,32.7,適正,32.6,avg
180,ミラクルペイント,30,30.7,下位,30.5,avg
190,ブリキノダンス,30,30.8,適正,30.7,avg
205,スイートマジック,27,27.6,適正,27.6,match
215,ネクストネスト,30,30.7,適正,30.6,avg
220,Hand in Hand,28,28.6,下位,28.5,avg
225,39みゅーじっく！,28,28.7,下位,28.5,avg
230,グリーンライツ・セレナーデ,31,31.9,最上位,31.9,match
235,メルト,29,29.5,適正,29.5,match
240,ワールドイズマイン,29,29.5,下位,29.4,avg
245,初音ミクの消失,35,35.7,適正,35.6,avg
250,Blessing,27,27.6,上位,27.6,match
255,セカイはまだ始まってすらいない,29,29.5,適正,29.5,match
260,potatoになっていく,29,29.4,最上位,29.6,avg
270,Ready Steady,29,29.5,上位,29.6,avg
275,Forward,28,28.8,最上位,28.8,match
285,アイドル新鋭隊,29,29.5,適正,29.5,match
300,悔やむと書いてミライ,30,30.9,最上位,30.9,match
305,携帯恋話,29,29.8,適正,29.7,avg
310,ジャックポットサッドガール,29,29.8,上位,29.8,match
315,needLe,29,29.6,適正,29.6,match
320,ステラ,30,30.6,適正,30.6,match
330,ハロ／ハワユ,27,27.5,下位,27.4,avg
335,自傷無色,26,26.6,下位,26.5,avg
340,ダンスロボットダンス,30,30.6,適正,30.6,match
345,フラジール,28,28.9,上位,28.8,avg
350,メルティランドナイトメア,27,27.8,最上位,27.8,match
355,ツギハギスタッカート,28,28.5,適正,28.5,match
360,ブレス・ユア・ブレス,29,29.8,上位,29.8,match
365,ニア,27,27.6,下位,27.5,avg
370,独りんぼエンヴィー,26,26.8,最上位,26.8,match
375,ウミユリ海底譚,28,28.7,適正,28.6,avg
380,セカイ,27,27.8,上位,27.8,match
385,ワーワーワールド,29,29.7,上位,29.7,match
