chart_id,difficulty,play_level,title,chart_constant
1575,master,37,What's up? Pop!,
1645,master,37,ヤミナベ!!!!,
1850,master,37,人生,
815,master,36,the EmpErroR,
820,master,35,Don't Fight The Music,
810,master,35,エンドマークに希望と涙を添えて,
880,master,35,マシンガンポエムドール,
3355,master,35,怪獣になりたい,
245,master,35,初音ミクの消失,
1250,master,35,腐れ外道とチョコレゐト,
675,master,35,六兆年と一夜物語,
3455,master,34,0.0000034,
1425,master,34,ÅMARA(大未来電脳),
2430,master,34,おぎゃりないざー,
2435,master,34,ダイジョブですか？,
3340,master,34,ネクラチューンサーカス,
2440,master,34,メモリア,
655,master,34,初音ミクの激唱,
3775,master,34,初音狂奏曲第01番「彗惺」,
3725,master,33,ANiMA,
3720,master,33,CHAOS,
3485,master,33,Internet Junk Junkie,
2245,master,33,MarbleBlue.,
3235,master,33,SAN値直葬,
995,master,33,ゴーストルール,
3430,master,33,トレジャーガーデン,
2940,master,33,プラネットヒーロー,
1245,master,33,ぼくらの16bit戦争,
490,master,33,ロストワンの号哭,
930,master,33,初音天地開闢神話,
2325,master,33,嬢王,
2715,master,33,生命性シンドロウム,
3110,master,33,超ナイト・オブ・ナイツ,
3660,master,33,天藍のアイスヘヴン,
640,master,32,Brand New Day,
2040,master,32,CIRCUS PANIC!!!,
2235,master,32,folern,
2920,master,32,IMAWANOKIWA,
2240,master,32,Sage,
2770,master,32,snooze,
1420,master,32,インビジブル,
3440,master,32,ウィーアーピコピコハンマーズ!!!!,
2795,master,32,おどりゃんせ,
2480,master,32,シルバーコレクター,
1770,master,32,セツナトリップ,
680,master,32,チルドレンレコード,
15,master,32,テオ,
140,master,32,ドクター＝ファンクビート,
635,master,32,トンデモワンダーズ,
1240,master,32,バグ,
645,master,32,ビターチョコデコレーション,
30,master,32,ヒバナ -Reloaded-,
915,master,32,フィクサー,
1365,master,32,フューチャー・イヴ,
2805,master,32,プロトディスコ,
2950,master,32,マンハッタン,
2905,master,32,厨病激発ボーイ,
1640,master,32,星界ちゃんと可不ちゃんのおつかい合騒曲,
550,master,32,千本桜,
2515,master,32,超最終鬼畜妹フランドール・Ｓ,
2255,master,32,熱異常,
1145,master,32,脳漿炸裂ガール,
875,master,32,拝啓ドッペルゲンガー,
3354,expert,32,怪獣になりたい,
3745,master,31,99 Glooms,
2030,master,31,ARQETYPE,
2710,master,31,Blackjack,
2980,master,31,D/N/A,
860,master,31,Happy Halloween,
2070,master,31,HERO,
2520,master,31,I know 愛脳.,
2100,master,31,imaginary love story,
1520,master,31,Iなんです,
3240,master,31,Life Will Change,
2080,master,31,limbo,
1665,master,31,Mr. Showtime,
3565,master,31,Nyanyanyanyanyanyanya!,
3050,master,31,Polar Star,
1670,master,31,Vampire's ∞ pathoS,
3705,master,31,アイ・メイカー！,
1155,master,31,アイデンティティ,
2915,master,31,アクセラレイト,
3755,master,31,アディショナルメモリー,
3385,master,31,アベリア,
1440,master,31,アンハッピーリフレイン,
2810,master,31,アンヘル,
2575,master,31,イガク,
1495,master,31,エゴイスト,
1125,master,31,エゴロック,
2605,master,31,オーバーライド,
1535,master,31,おこちゃま戦争,
835,master,31,オルターエゴ,
855,master,31,カゲロウデイズ,
1765,master,31,キティ,
1805,master,31,きゅうくらりん,
2370,master,31,キラー,
2960,master,31,クイーンオブハート,
230,master,31,グリーンライツ・セレナーデ,
3345,master,31,げんてん,
1165,master,31,コスモスパイス,
1360,master,31,ジェヘナ,
420,master,31,ジャンキーナイトタウンオーケストラ,
800,master,31,ショウタイム・ルーラー,
3030,master,31,スーサイドパレヱド,
1835,master,31,すきなことだけでいいです,
1895,master,31,ずんだパーリナイ,
825,master,31,そうだった！！,
2375,master,31,ちがう!!!,
440,master,31,チュルリラ・チュルリラ・ダッダッダ！,
3120,master,31,チルノのパーフェクトさんすう学園,
3115,master,31,とうほう☆ワンダーランド,
2140,master,31,ときめきジェットコースター,
1675,master,31,トラッシュ・アンド・トラッシュ！,
890,master,31,にっこり^^調査隊のテーマ,
1490,master,31,ネトゲ廃人シュプレヒコール,
1340,master,31,ノンブレス・オブリージュ,
3515,master,31,バイオレンストリガー,
2765,master,31,パリィ,
2165,master,31,ヒアソビ,
3570,master,31,フロイライン＝オジョウサマ,
1255,master,31,フロイライン＝ビブリォチカ,
