難易度,曲名　　　　　　　　　　 　　  　　  　  (ギミック),,,,,,定数,地,密,瞬,究,終,技,計,　 BPM　 (跳),,演奏時間,ひとこと
37,FALSE,ヤミナベ!!!!,,ソ,敷,交,37.9,9,6,5,5,5,3,33,174-300,▲,2:06.47,圧倒的BPMと速度変化が特徴。運指を組むことで一番太刀打ちの利く37でもある
,FALSE,人生,,ソ,敷,交,37.8,10,6,4,4,5,3,32,142-185,△,2:22.81,地力譜面をめちゃくちゃに突き詰めたみたいな譜面。今からでもトレース終点にしません？
,FALSE,What's up? Pop!,,,敷,交,37.8,10,6,5,4,4,3,32,170-230,,2:35.54,ついに解禁されてしまった4本指必須譜面。BPM400の16分でくの字って何事なの？
36,FALSE,the EmpErroR,,,,,36.0,9,6,5,3,2,3,28,240,,2:04.50,高速耐性と技術両方が必要。BPM240でフリック直後にタップ置いてくるのマジで何なんだ...
35,FALSE,Don't Fight The Music,,,敷,交,35.9,10,2,5,4,2,4,27,25-200,,2:36.16,技術全ブッパな譜面。指押しなどが苦手だと苦しいが、BPMは比較的遅めで詰めやすいかも
,FALSE,マシンガンポエムドール,,,,,35.9,10,6,3,3,2,3,27,220,,2:15.00,35だ35だと言われ続けついに昇格...どころか、35の曲プールの中でも最強格の地力譜面
,FALSE,腐れ外道とチョコレゐト,,,敷,交,35.8,8,6,4,2,3,3,26,260,,2:09.46,エンドマに比べると長いトリルこそないがフリックの精度が非常に求められる。待望の昇格
,FALSE,初音ミクの消失,,,,交,35.7,8,3,4,3,5,2,25,240,,2:20.50,配置自体は基本的な折り返し4kだがそれが難しい。指押しに移動終点を混ぜるんじゃあないよ......
,FALSE,エンドマークに希望と涙を添えて,,,,,35.6,7,7,5,1,2,2,24,257,,2:15.18,理論上2本指レギュの中でも最高峰の物量を誇る。最低限の4k地力も求められたりはするぞ
,FALSE,六兆年と一夜物語,,,,,35.6,5,4,5,5,2,3,24,93-186,,1:59.84,実は指押しに逃げられる箇所が意外とないので、運指を組んでおくことがかなり求められる
,FALSE,怪獣になりたい,,ソ,敷,多,35.5,4,5,6,4,1,3,23,220,,1:58.27,本当に2本指の理論値みたいな譜面。16分叩きつつトレースの移動と要求ハンドスピードがあり得ない
34,FALSE,初音ミクの激唱,,,,,34.9,10,6,2,5,1,2,26,200,▲,2:36.83,34の中で唯一指押しが想定運指であろう譜面。発狂に同時押しがないので研究で太刀打ちも可能
,FALSE,ネクラチューンサーカス,,ソ,敷,多,34.7,7,7,3,2,1,4,24,164-254,,2:00.07,トレース難の極致みたいな譜面。そもそものBPMがかなり早く、対応できるかによって個人差も大きい
,FALSE,おぎゃりないざー,,ソ,敷,交,34.7,6,7,5,2,2,2,24,140-310,▲,2:02.73,激唱が技巧系であるのに対し、こちらはハンドスピードが重視される。癖をつけない程度に詰めたい
,FALSE,0.0000034,,ソ,敷,交,34.5,5,7,3,1,2,3,21,239,▲,2:28.37,追いつくフィジカルのみならず、エイム力が必要。目線を落としたり指を極力重ねないなど工夫しよう
,FALSE,ダイジョブですか？,,ソ,敷,交,34.5,6,5,4,2,1,3,21,151-254,,2:22.71,それなりの高BPMに技術を織り交ぜた譜面で総合力が求められる。耐性が1つ欠けているとしんどい
