chart_id,music_id,title,pronunciation,difficulty,play_level,chart_constant,total_note_count,published_at
5,1,Tell Your World,てるゆあわーるど,master,26,,1147,2019-06-10
4001,1,Tell Your World,てるゆあわーるど,append,25,,1353,2019-06-10
9,2,ロキ,ろき,expert,24,,827,2019-06-10
10,2,ロキ,ろき,master,29,,975,2019-06-10
4090,2,ロキ,ろき,append,28,,1040,2019-06-10
14,3,テオ,てお,expert,27,,997,2019-06-10
15,3,テオ,てお,master,32,,1221,2019-06-10
29,6,ヒバナ -Reloaded-,ひばなりろーでっど,expert,28,,808,2019-06-10
30,6,ヒバナ -Reloaded-,ひばなりろーでっど,master,32,,1060,2019-06-10
4002,6,ヒバナ -Reloaded-,ひばなりろーでっど,append,34,,1351,2019-06-10
40,8,タイムマシン,たいむましん,master,27,,903,2021-02-10
49,10,ハッピーシンセサイザ,はっぴーしんせさいざ,expert,24,,859,2019-06-10
50,10,ハッピーシンセサイザ,はっぴーしんせさいざ,master,28,,1136,2019-06-10
4088,10,ハッピーシンセサイザ,はっぴーしんせさいざ,append,29,,1205,2019-06-10
54,11,ビバハピ,びばはぴ,expert,24,,597,2020-10-11
55,11,ビバハピ,びばはぴ,master,29,,722,2020-10-11
4142,11,ビバハピ,びばはぴ,append,31,,884,2020-10-11
65,13,Nostalogic,のすたろじっく,master,29,,985,2019-06-10
74,15,drop pop candy,どろっぷぽっぷきゃんでぃ,expert,25,,773,2021-02-15
75,15,drop pop candy,どろっぷぽっぷきゃんでぃ,master,29,,902,2021-02-15
89,18,アスノヨゾラ哨戒班,あすのよぞらしょうかいはん,expert,25,,1073,2020-10-01
90,18,アスノヨゾラ哨戒班,あすのよぞらしょうかいはん,master,29,,1208,2020-10-01
95,19,シャルル,しゃるる,master,28,,824,2019-06-10
4025,19,シャルル,しゃるる,append,28,,1000,2019-06-10
104,21,脱法ロック,だっぽうろっく,expert,26,,972,2020-10-04
105,21,脱法ロック,だっぽうろっく,master,31,,1145,2020-10-04
109,22,命に嫌われている,いのちにきらわれている,expert,26,,756,2020-10-05
